is_canceled,lead_time,arrival_date_year,arrival_date_month,arrival_date_week_number,arrival_date_day_of_month,stays_in_weekend_nights,stays_in_week_nights,adults,children,babies,meal,country,market_segment,distribution_channel,is_repeated_guest,previous_cancellations,previous_bookings_not_canceled,reserved_room_type,assigned_room_type,booking_changes,deposit_type,agent,company,days_in_waiting_list,customer_type,adr,required_car_parking_spaces,total_of_special_requests,dataset
0,342,2015,7,27,1,0,0,2,0,0,0,95,2,1,0,0,0,2,2,3,0,14,179,0,2,0,0,0,Train
0,737,2015,7,27,1,0,0,2,0,0,0,95,2,1,0,0,0,2,2,4,0,14,179,0,2,0,0,0,Train
0,7,2015,7,27,1,0,1,1,0,0,0,45,2,1,0,0,0,0,2,0,0,14,179,0,2,0.6,0,0,Train
0,13,2015,7,27,1,0,1,1,0,0,0,45,1,0,0,0,0,0,0,0,0,304,179,0,2,0.6,0,0,Train
0,14,2015,7,27,1,0,2,2,0,0,0,45,5,2,0,0,0,0,0,0,0,240,179,0,2,0.784,0,1,Train
0,14,2015,7,27,1,0,2,2,0,0,0,45,5,2,0,0,0,0,0,0,0,240,179,0,2,0.784,0,1,Train
0,0,2015,7,27,1,0,2,2,0,0,0,95,2,1,0,0,0,2,2,0,0,14,179,0,2,0.856,0,0,Train
0,9,2015,7,27,1,0,2,2,0,0,1,95,2,1,0,0,0,2,2,0,0,303,179,0,2,0.824,0,1,Train
1,85,2015,7,27,1,0,3,2,0,0,0,95,5,2,0,0,0,0,0,0,0,240,179,0,2,0.656,0,1,Train
1,75,2015,7,27,1,0,3,2,0,0,2,95,4,2,0,0,0,3,3,0,0,15,179,0,2,0.844,0,0,Train
1,23,2015,7,27,1,0,4,2,0,0,0,95,5,2,0,0,0,4,4,0,0,240,179,0,2,0.984,0,0,Train
0,35,2015,7,27,1,0,4,2,0,0,2,95,5,2,0,0,0,3,3,0,0,240,179,0,2,1.16,0,0,Train
0,68,2015,7,27,1,0,4,2,0,0,0,118,5,2,0,0,0,3,4,0,0,240,179,0,2,0.776,0,3,Train
0,18,2015,7,27,1,0,4,2,1,0,2,40,5,2,0,0,0,6,6,1,0,241,179,0,2,1.23816,0,1,Train
0,37,2015,7,27,1,0,4,2,0,0,0,95,5,2,0,0,0,4,4,0,0,241,179,0,2,0.75768,0,0,Train
0,68,2015,7,27,1,0,4,2,0,0,0,55,5,2,0,0,0,3,4,0,0,240,179,0,2,0.776,0,3,Train
0,37,2015,7,27,1,0,4,2,0,0,0,95,4,2,0,0,0,4,4,0,0,8,179,0,0,0.78,0,0,Train
0,12,2015,7,27,1,0,1,2,0,0,0,55,5,2,0,0,0,0,4,0,0,240,179,0,2,0.7056,0,0,Train
0,0,2015,7,27,1,0,1,2,0,0,0,44,1,0,0,0,0,0,6,0,0,14,110,0,2,0.85936,0,0,Train
0,7,2015,7,27,1,0,4,2,0,0,0,45,2,1,0,0,0,6,6,0,0,250,179,0,2,1.224,0,1,Train
0,37,2015,7,27,1,1,4,1,0,0,0,45,5,2,0,0,0,5,5,0,0,241,179,0,2,0.77832,0,1,Train
0,72,2015,7,27,1,2,4,2,0,0,0,95,2,1,0,0,0,0,0,1,0,250,179,0,2,0.67736,0,1,Train
